time;nof_ue;dl_brate;ul_brate;proc_rmem;proc_rmem_kB;proc_vmem_kB;sys_mem;system_load;thread_count;cpu_0;cpu_1;cpu_2;cpu_3
343;0;0.0;0.0;13;1071840;2059404;92;23;19;60;64;63;65
344;0;0.0;0.0;13;1071840;2059404;92;24;19;55;60;59;66
345;0;0.0;0.0;13;1071840;2059404;92;24;19;60;58;54;64
346;0;0.0;0.0;13;1071840;2059404;91;24;19;55;52;55;62
347;0;0.0;0.0;13;1071840;2059404;91;26;19;84;76;78;85
348;0;0.0;0.0;13;1071840;2059404;92;24;19;62;70;61;80
349;0;0.0;0.0;13;1071840;2059404;91;22;19;68;59;56;64
350;0;0.0;0.0;13;1071840;2059404;92;24;19;69;70;63;70
351;0;0.0;0.0;13;1071840;2059404;92;26;19;66;68;65;72
352;0;0.0;0.0;13;1071840;2059404;92;22;19;58;55;52;58
353;0;0.0;0.0;13;1071840;2059404;92;24;19;55;72;56;65
354;0;0.0;0.0;13;1071840;2059404;92;25;19;65;67;67;64
355;0;0.0;0.0;13;1071840;2059404;92;25;19;63;61;61;63
356;0;0.0;0.0;13;1071840;2059404;92;24;19;57;59;54;63
357;0;0.0;0.0;13;1071840;2059404;92;26;19;57;54;55;63
358;0;0.0;0.0;13;1071840;2059404;92;20;19;61;46;48;55
359;0;0.0;0.0;13;1071840;2059404;92;18;19;40;43;44;52
360;0;0.0;0.0;13;1071840;2059404;91;32;19;89;90;90;93
361;0;0.0;0.0;13;1071840;2059404;92;28;19;93;94;95;95
362;0;0.0;0.0;13;1071840;2059404;91;24;19;98;97;97;98
363;0;0.0;0.0;13;1071840;2059404;92;21;19;92;90;84;98
364;0;0.0;0.0;13;1071840;2059404;92;21;19;99;79;92;86
365;0;0.0;0.0;13;1071840;2059404;92;20;19;82;64;73;66
366;0;0.0;0.0;13;1071840;2059404;92;19;19;83;53;59;67
367;0;0.0;0.0;13;1071840;2059404;93;27;19;82;86;93;86
368;0;0.0;0.0;13;1071840;2059404;92;25;19;72;82;79;79
369;0;0.0;0.0;13;1071840;2059404;92;18;19;36;66;68;59
